CLIP NAME                     ,START TIME    ,END TIME      ,DURATION      
UPM CHAP451 25 Spider Webs Underscore Kent Martin 970126 aiff n,10:34:57:24,10:35:41:04,00:00:43:05
UPM KOS686 1 Any Other Challenge Instrumental Lux Perroquin 130,10:35:40:07,10:36:44:21,00:01:04:14
22 - Media (Cinematic) - G Brosteanu - LHS058 aiff new 01 Bounc,10:36:51:06,10:37:21:19,00:00:30:13
22 - Media (Cinematic) - G Brosteanu - LHS058 aiff new 01,10:37:18:03,10:37:21:20,00:00:03:17
18 - Baker's Delight - J Peach - DBX012 aiff new 01 Bounced,10:37:21:20,10:37:36:16,00:00:14:21
"04 - Scientific Breakthrough - A Deeping, B Howells - NLM146 ai",10:37:39:03,10:38:12:09,00:00:33:06
"08 - Diner Time - B Deshayes, N Clergue - BAM-BX035 aiff new 01",10:38:12:09,10:38:53:03,00:00:40:19
SCS107 05 TERMINATE MILE AIF new 01 Bounced,10:39:26:15,10:40:10:08,00:00:43:18
29 - Pharmaceuticals - T Whitelaw - SCDV750 aiff new 01 Bounced,10:40:21:02,10:41:12:15,00:00:51:13
02 - Ambient Flickers - T Hewson - NLM160 aiff new 01 Bounced,10:41:10:13,10:41:35:18,00:00:25:05
23 - Cheerful Impulse - L Dury - BAM098 aiff new 01 Bounced,10:41:34:19,10:42:21:08,00:00:46:14
02 - The Pursuit - P Jeremias - MNM059 aiff new 01 Bounced,10:42:21:01,10:43:21:16,00:01:00:15
UPM KOS584 11 Growing Motivation Main Track Bestion Cavalier 96,10:43:19:24,10:44:14:02,00:00:54:03
03 - Won't Be Denied - O Yisraeli - STYE605 aiff new 01 Bounced,10:44:25:00,10:45:03:02,00:00:38:02
UPM KOS589 1 Happy Soul Main Track Annaloro Maarek 970071 aiff ,10:44:59:08,10:45:31:18,00:00:32:10
UPM BER1247 22 Fly Away Home Main Track Suessmair 849451 aiff n,10:45:33:06,10:45:58:00,00:00:24:19
XET009 01 IN PALMS WAY AIF new 01 Bounced,10:46:39:13,10:47:36:07,00:00:56:19
SCS107 06 THE HAMMER COMES DOWN AIF new 01 Bounced,10:47:35:06,10:48:32:09,00:00:57:03
XRC029 13 CRACKLE AND POP AIF new 01 Bounced,10:48:35:01,10:49:03:09,00:00:28:08
XRC023 01 HOUSE BROKEN AIF new 01 Bounced,10:49:03:03,10:49:44:04,00:00:41:01
CHALK CHALK 0019 00201 RIVERS TO OCEANS A Rex Maeve Ted Franco ,10:49:56:01,10:51:21:08,00:01:25:07
UPM NOVA116 8 Pages Instrumental O Brien 1158050 aiff new 01 Bo,10:51:22:04,10:52:18:22,00:00:56:18
HPE130 06 1 CALLING YOU HOME INSTRUMENTAL AIF new 01 Bounced,10:52:39:18,10:53:11:06,00:00:31:13
DCD027 06 STARK DAZE AIF new 01 DCD027 06 STARK DAZE AIF Bounce,10:53:11:24,10:54:04:20,00:00:52:21
XET002 04 3 30 FLOCK AMBIENT AIF new 01 Bounced,10:54:01:21,10:54:23:10,00:00:21:14
DCD027 01 THE FALLEN AIF new 01 Bounced,10:54:19:16,10:54:45:04,00:00:25:13
DCD205 05 3 IMAGINE THAT AMBIENT MP3 new 01 DCD205 05 3 IMAGINE,10:54:58:10,10:55:21:06,00:00:22:21
DCD027 01 THE FALLEN AIF new 01 Bounced,10:55:48:04,10:56:04:01,00:00:15:22
LAA036 01 THE HEAL DEAL AIF new 01 LAA036 01 THE HEAL DEAL AIF,10:56:15:05,10:57:24:08,00:01:09:03
LAA036 06 ENOUGH IS ENOUGH AIF new 01 Bounced,10:57:17:02,10:58:29:00,00:01:11:23
ADD ADD 0003 00401 A DIFFERENT PATH A James Miles Hankins Jeffr,10:58:23:06,10:58:43:20,00:00:20:14
DCD002 01 VICTORY QUEST AIF new 01 Bounced,10:58:43:08,10:59:23:12,00:00:40:04
STN006 02 TEAM SPACE AIF new 01 STN006 02 TEAM SPACE AIF Bounce,10:59:21:01,10:59:51:03,00:00:30:02
